Year,Title,Authors,Link
2025,The Complexity of Two-Team Polymatrix Games with Independent Adversaries.,"Alexandros Hollender, Gilbert Maystre, Sai Ganesh Nagarajan",https://openreview.net/forum?id=9VGTk2NYjF
2025,MMQA: Evaluating LLMs with Multi-Table Multi-Hop Complex Questions.,"Jian Wu, Linyi Yang, Dongyuan Li, Yuliang Ji, Manabu Okumura, Yue Zhang",https://openreview.net/forum?id=GGlpykXDCa
2025,On Scaling Up 3D Gaussian Splatting Training.,"Hexu Zhao, Haoyang Weng, Daohan Lu, Ang Li, Jinyang Li, Aurojit Panda, Saining Xie",https://openreview.net/forum?id=pQqeQpMkE7
2025,Emergence of meta-stable clustering in mean-field transformer models.,"Giuseppe Bruno, Federico Pasqualotto, Andrea Agazzi",https://openreview.net/forum?id=eBS3dQQ8GV
2025,Wide Neural Networks Trained with Weight Decay Provably Exhibit Neural Collapse.,"Arthur Jacot, Peter Súkeník, Zihan Wang, Marco Mondelli",https://openreview.net/forum?id=1HCN4pjTb4
2025,ECD: A Machine Learning Benchmark for Predicting Enhanced-Precision Electronic Charge Density in Crystalline Inorganic Materials.,"Pin Chen, Zexin Xu, Qing Mo, Hongjin Zhong, Fengyang Xu, Yutong Lu",https://openreview.net/forum?id=SBCMNc3Mq3
2025,On the Benefits of Memory for Modeling Time-Dependent PDEs.,"Ricardo Buitrago Ruiz, Tanya Marwah, Albert Gu, Andrej Risteski",https://openreview.net/forum?id=o9kqa5K3tB
2025,SD-LoRA: Scalable Decoupled Low-Rank Adaptation for Class Incremental Learning.,"Yichen Wu, Hongming Piao, Long-Kai Huang, Renzhen Wang, Wanhua Li, Hanspeter Pfister, Deyu Meng, Kede Ma, Ying Wei",https://openreview.net/forum?id=5U1rlpX68A
2025,Improving Probabilistic Diffusion Models With Optimal Diagonal Covariance Matching.,"Zijing Ou, Mingtian Zhang, Andi Zhang, Tim Z. Xiao, Yingzhen Li, David Barber",https://openreview.net/forum?id=fV0t65OBUu
2025,PathGen-1.6M: 1.6 Million Pathology Image-text Pairs Generation through Multi-agent Collaboration.,"Yuxuan Sun, Yunlong Zhang, Yixuan Si, Chenglu Zhu, Kai Zhang, Zhongyi Shui, Jingxiong Li, Xuan Gong, Xinheng Lyu, Tao Lin, Lin Yang",https://openreview.net/forum?id=rFpZnn11gj
2025,Training on the Test Task Confounds Evaluation and Emergence.,"Ricardo Dominguez-Olmedo, Florian E. Dorner, Moritz Hardt",https://openreview.net/forum?id=jOmk0uS1hl
2025,Subgraph Federated Learning for Local Generalization.,"Sungwon Kim, Yoonho Lee, Yunhak Oh, Namkyeong Lee, Sukwon Yun, Junseok Lee, Sein Kim, Carl Yang, Chanyoung Park",https://openreview.net/forum?id=cH65nS5sOz
2025,A Probabilistic Perspective on Unlearning and Alignment for Large Language Models.,"Yan Scholten, Stephan Günnemann, Leo Schwinn",https://openreview.net/forum?id=51WraMid8K
2025,MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering.,"Jun Shern Chan, Neil Chowdhury, Oliver Jaffe, James Aung, Dane Sherburn, Evan Mays, Giulio Starace, Kevin Liu, Leon Maksin, Tejal Patwardhan, Aleksander Madry, Lilian Weng",https://openreview.net/forum?id=6s5uXNWGIh
2025,Learning Randomized Algorithms with Transformers.,"Johannes von Oswald, Seijin Kobayashi, Yassir Akram, Angelika Steger",https://openreview.net/forum?id=UV5p3JZMjC
2025,Data Scaling Laws in Imitation Learning for Robotic Manipulation.,"Fanqi Lin, Yingdong Hu, Pingyue Sheng, Chuan Wen, Jiacheng You, Yang Gao",https://openreview.net/forum?id=pISLZG7ktL
2025,Amortized Control of Continuous State Space Feynman-Kac Model for Irregular Time Series.,"Byoungwoo Park, Hyungi Lee, Juho Lee",https://openreview.net/forum?id=8zJRon6k5v
2025,Cheating Automatic LLM Benchmarks: Null Models Achieve High Win Rates.,"Xiaosen Zheng, Tianyu Pang, Chao Du, Qian Liu, Jing Jiang, Min Lin",https://openreview.net/forum?id=syThiTmWWm
2025,On the Hölder Stability of Multiset and Graph Neural Networks.,"Yair Davidson, Nadav Dym",https://openreview.net/forum?id=P7KIGdgW8S
2025,On Conformal Isometry of Grid Cells: Learning Distance-Preserving Position Embedding.,"Dehong Xu, Ruiqi Gao, Wenhao Zhang, Xue-Xin Wei, Ying Nian Wu",https://openreview.net/forum?id=Xo0Q1N7CGk
2025,Combatting Dimensional Collapse in LLM Pre-Training Data via Submodular File Selection.,"Ziqing Fan, Siyuan Du, Shengchao Hu, Pingjie Wang, Li Shen, Ya Zhang, Dacheng Tao, Yanfeng Wang",https://openreview.net/forum?id=f4gF6AIHRy
2025,Population Transformer: Learning Population-level Representations of Neural Activity.,"Geeling Chau, Christopher Wang, Sabera J. Talukder, Vighnesh Subramaniam, Saraswati Soedarmadji, Yisong Yue, Boris Katz, Andrei Barbu",https://openreview.net/forum?id=FVuqJt3c4L
2025,KAN: Kolmogorov-Arnold Networks.,"Ziming Liu, Yixuan Wang, Sachin Vaidya, Fabian Ruehle, James Halverson, Marin Soljacic, Thomas Y. Hou, Max Tegmark",https://openreview.net/forum?id=Ozo7qJ5vZi
2025,Problem-Parameter-Free Federated Learning.,"Wenjing Yan, Kai Zhang, Xiaolu Wang, Xuanyu Cao",https://openreview.net/forum?id=ZuazHmXTns
2025,SymmetricDiffusers: Learning Discrete Diffusion on Finite Symmetric Groups.,"Yongxing Zhang, Donglin Yang, Renjie Liao",https://openreview.net/forum?id=EO8xpnW7aX
2025,Language Representations Can be What Recommenders Need: Findings and Potentials.,"Leheng Sheng, An Zhang, Yi Zhang, Yuxin Chen, Xiang Wang, Tat-Seng Chua",https://openreview.net/forum?id=eIJfOIMN9z
2025,HiRA: Parameter-Efficient Hadamard High-Rank Adaptation for Large Language Models.,"Qiushi Huang, Tom Ko, Zhan Zhuang, Lilian Tang, Yu Zhang",https://openreview.net/forum?id=TwJrTz9cRS
2025,"A Theoretically-Principled Sparse, Connected, and Rigid Graph Representation of Molecules.","Shih-Hsin Wang, Yuhao Huang, Justin M. Baker, Yuan-En Sun, Qi Tang, Bao Wang",https://openreview.net/forum?id=OIvg3MqWX2
2025,How much of my dataset did you use? Quantitative Data Usage Inference in Machine Learning.,"Yao Tong, Jiayuan Ye, Sajjad Zarifzadeh, Reza Shokri",https://openreview.net/forum?id=EUSkm2sVJ6
2025,LARP: Tokenizing Videos with a Learned Autoregressive Generative Prior.,"Hanyu Wang, Saksham Suri, Yixuan Ren, Hao Chen, Abhinav Shrivastava",https://openreview.net/forum?id=Wr3UuEx72f
2025,MOS: Model Synergy for Test-Time Adaptation on LiDAR-Based 3D Object Detection.,"Zhuoxiao Chen, Junjie Meng, Mahsa Baktashmotlagh, Yonggang Zhang, Zi Huang, Yadan Luo",https://openreview.net/forum?id=Y6aHdDNQYD
2025,Synthetic continued pretraining.,"Zitong Yang, Neil Band, Shuangping Li, Emmanuel J. Candès, Tatsunori Hashimoto",https://openreview.net/forum?id=07yvxWDSla
